កម្ពុជា (KH)
សាធារណរដ្ឋឆេក (CZ)
សាធារណរដ្ឋដូមីនីកែន (DO)
សាធារណរដ្ឋប្រជាធិបតេយ្យប្រជាមានិតកូរ៉េ (KP)
សាធារណរដ្ឋម៉ុលដាវី (MD)
សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល (CF)
សាមូអា (WS)
សាហារ៉ាខាងលិច (EH)
សិង្ហបុរី (SG)
ស៉ីពរ៍ (CY)
ស៊ីរី (SY)
សីសែល (SC)
ស៊ុយអែដ (SE)
ស៊ូដង់ (SD)
សូម៉ាលី (SO)
សូរីណាម (SR)
សូហ្ស៉ីឡង់ (SZ)
សេនេហ្កាល់ (SN)
សេរ៉ាឡេអូន (SL)
ស្រីលង្កា (LK)
ស្លូវ៉ាគី (SK)
ស្លូវេនី (SI)
ស្វីស (CH)
ហុងកុង (HK)
ហុងគ្រី (HU)
ហុងឌួរ៉ាស់ (HN)
ហូល្លង់ (NL)
ហៃទី (HT)
ហ្កាណា (GH)
ហ្គាតេម៉ាឡា (GT)
ហ្គាបុង (GA)
ហ្គីណេ (GN)
ហ្គីណេប៊ីសូ (GW)
ហ្គីណេអេក្វាទ័រ (GQ)
ហ្គីយ៉ាណា (GY)
ហ្គាំប៊ី (GM)
ហ្វ៉ីលីពីន (PH)
ហ្វ៉ីហ្ស៉ី (FJ)
ហ្វាំងឡង់ (FI)
ហ៊្សកដានី (JO)
ហ្សកហ្ស៉ី (GE)
ហ្សាម៉ាអ៉ិគ (JM)
ហ្ស៉ីបូទី (DJ)
ហ្ស៊ីមបាបវ៉េ (ZW)
ហ្សាំប៊ី (ZM)
ឡាតវីយ៉ា (LV)
ឡាវ (LA)
អង់ហ្គោឡា (AO)
អានដូរ៉ា (AD)
អារមេនី (AM)
អារ៉ាប៊ីសាអ៊ូឌីត (SA)
អាល់បានី (AL)
អាល់ហ្សេរី (DZ)
អាល្លឺម៉ង់ (DE)
អាហ្វហ្គានីស្ថាន (AF)
អាហ្វ្រិកខាងត្បូង (ZA)
អាហ្សង់ទីន (AR)
អាហ៊្សែរបែហ្សង់ (AZ)
ឥណ្ឌា (IN)
ឥណ្ឌូនេស៊ី (ID)
អ៊ីតាលី (IT)
អ៊ីរ៉ង់ (IR)
អ៊ីរ៉ាក់ (IQ)
អ៊ីស្រាអែល (IL)
អ៉ីស្លង់ (IS)
អ៊ុយក្រែន (UA)
អ៊ុយរុយហ្គាយ (UY)
អូទ្រីស (AT)
អូម៉ង់ (OM)
អូស្ត្រាលី (AU)
អ៊ូហ្កង់ដា (UG)
អ៊ូហ្សបេគីស្តង់ (UZ)
អៀរឡង់ (IE)
អេក្វាឌ័រ (EC)
អេត្យូពី (ET)
អេមីរ៉ែទអារ៉ាប់រួម (AE)
អេរីទ្រា (ER)
អេស្តូនី (EE)
អេស្ប៉ាញ (ES)
អេហ្ស៉ីប (EG)
អែលសាល់វ៉ាឌ័រ (SV)
