กรีซ (GR)
เอสโตเนีย (EE)
เอาต์ไลอิงโอเชียเนีย (QO)
แองกวิลลา (AI)
แองโกลา (AO)
แอนตาร์กติกา (AQ)
แอนติกาและบาร์บูดา (AG)
แอฟริกาใต้ (ZA)
แอลจีเรีย (DZ)
แอลเบเนีย (AL)
โอมาน (OM)
ไอซ์แลนด์ (IS)
ไอร์แลนด์ (IE)
ไอวอรี่โคสต์ (CI)
ฮ่องกง เขตปกครองพิเศษประเทศจีน (HK)
ฮอนดูรัส (HN)
ฮังการี (HU)
เฮติ (HT)
