安道尔 (AD)
委内瑞拉 (VE)
英属维京群岛 (VG)
美属维京群岛 (VI)
越南 (VN)
瓦努阿图 (VU)
瓦利斯和富图纳 (WF)
萨摩亚 (WS)
也门 (YE)
马约特 (YT)
南非 (ZA)
赞比亚 (ZM)
津巴布韦 (ZW)
未知或无效地区 (ZZ)
