阿尔巴尼亚 (AL)
斯瓦尔巴特和扬马延 (SJ)
斯威士兰 (SZ)
苏丹 (SD)
苏里南 (SR)
所罗门群岛 (SB)
索马里 (SO)
塔吉克斯坦 (TJ)
台湾 (TW)
泰国 (TH)
坦桑尼亚 (TZ)
汤加 (TO)
特克斯和凯科斯群岛 (TC)
特里斯坦-达库尼亚群岛 (TA)
特立尼达和多巴哥 (TT)
突尼斯 (TN)
图瓦卢 (TV)
土耳其 (TR)
土库曼斯坦 (TM)
托克劳 (TK)
瓦利斯和富图纳 (WF)
瓦努阿图 (VU)
危地马拉 (GT)
委内瑞拉 (VE)
文莱 (BN)
乌干达 (UG)
乌克兰 (UA)
乌拉圭 (UY)
乌兹别克斯坦 (UZ)
希腊 (GR)
西班牙 (ES)
西撒哈拉 (EH)
新加坡 (SG)
新喀里多尼亚 (NC)
新西兰 (NZ)
匈牙利 (HU)
休达及梅利利亚 (EA)
叙利亚 (SY)
牙买加 (JM)
亚美尼亚 (AM)
也门 (YE)
伊拉克 (IQ)
伊朗 (IR)
以色列 (IL)
意大利 (IT)
印度 (IN)
印度尼西亚 (ID)
英国 (GB)
英属维京群岛 (VG)
英属印度洋领地 (IO)
约旦 (JO)
越南 (VN)
赞比亚 (ZM)
泽西岛 (JE)
乍得 (TD)
直布罗陀 (GI)
智利 (CL)
中非共和国 (CF)
中国 (CN)
中国澳门特别行政区 (MO)
中国香港特别行政区 (HK)
