ອັນດໍລາ (AD)
ກົວເດີລູບ (GP)
ເອຄົວໂທເລຍລະກິນີ (GQ)
ກິຼກ (GR)
ກົວເຕມາລາ (GT)
ກິວນີ-ບິສໂຊ (GW)
ກູຢານາ (GY)
ຮ່ອງກົງ (HK)
ອວນຄູຣັສ (HN)
ໂຄເອເຊຍ (HR)
ໄອທີ (HT)
ຮົງກາຣີ (HU)
ອິນໂດເນເຊຍ (ID)
ໄອແລນ (IE)
ອິສລະເອວ (IL)
ອິນເດຍ (IN)
ອີລັກ (IQ)
ອີລ່ານ (IR)
ໄອສແລນ (IS)
ອິຕາລີ (IT)
ຈາໄມກາ (JM)
ຈໍແດນ (JO)
ຍີ່ປຸ່ນ (JP)
ເຄນຢ່າ (KE)
ເດີກິດສະຖານ (KG)
ກຳປູເຈຍ (KH)
ຄີລິບາດ (KI)
ໂຄໂມຣອດ (KM)
ເກົາຫລີເໜືອ (KP)
ເກົາຫລີໃຕ້ (KR)
ຄູເວດ (KW)
ຄາຊັດສະຖານ (KZ)
ລາວ (LA)
ເລບານອນ (LB)
ໄລເທນສະໄຕ (LI)
ສີລັງກາ (LK)
ລິເບີເລຍ (LR)
ເລໂຊໂທ (LS)
ລິເທີເນຍ (LT)
ລຸກແຊມເບີກ (LU)
ລຼາດເວຍ (LV)
ລິເບຍ (LY)
ໂມລັອກໂຄ (MA)
ໂມນາໂກ (MC)
ໂມນໂຄວາ (MD)
ມາຄາກັສກາ (MG)
ແມຊິໂຄເນຍ (MK)
ມາລິ (ML)
ສະຫະພາບພະມ້າ (MM)
ມົງໂກລີ (MN)
ມາເກົ້າ (MO)
ມາຕິນິກ (MQ)
ມໍລິກທາເນຍ (MR)
ມອນເຊີລາດ (MS)
ມັນຕາ (MT)
ມໍຣິຕຽດ (MU)
ແມັກຊິໂກ (MX)
ມາເລເຊຍ (MY)
ໂມແຊມບິກ (MZ)
ນາມິເບຍ (NA)
ນິວຄາລິໂຄເນຍ (NC)
ໄນເຈີ (NE)
ໄນຈີເລຍ (NG)
ນິຄາລາກົວ (NI)
ເນເທີແລນ (NL)
ນໍເວ (NO)
ເນປານ (NP)
ນີຢູ (NU)
ນິວຊີແລນ (NZ)
ໂອມານ (OM)
ປານາມາ (PA)
ເປລູ (PE)
ເຟັນຣໂພລິນີເຊຍ (PF)
ປາປົວນິວກີນີ (PG)
ຟິລິປິນ (PH)
ປາກິສຖານ (PK)
ໂປແລນ (PL)
ເປີໂຕລິໂກ (PR)
ໂປຕຸກກັນ (PT)
ປາລາກວຍ (PY)
ກາຕາ (QA)
ລູເມເນຍ (RO)
ລັດເຊຍ (RU)
ລາວັນດາ (RW)
ຊາອຸດິອາລະເບຍ (SA)
ເຊແຊວ (SC)
ຊູດານ (SD)
ສະວິເດັນ (SE)
ສິງກະໂປ (SG)
ສະໂລເວເນຍ (SI)
ສະໂລວາເກຍ (SK)
ເຊຍລາສິອອນ (SL)
ຊິນີກັນ (SN)
ໂຊມາເລຍ (SO)
ຊູລິນາມິ (SR)
ເອຊາວາດໍ (SV)
ຊິເລຍ (SY)
ສະວາຊິແລນ (SZ)
ຊາດ (TD)
ອານາເຂດທາງໃຕ້ຂອງຝລັ່ງເສດ (TF)
ໂຕໂກ (TG)
ປະເທດໄທ (TH)
ທາຈິກິສະຖານ (TJ)
ໂທກິໂລ (TK)
ຕິມໍຕາເວັນອອກ (TL)
ເຕຣີກເມນິສະຖານ (TM)
ຕູນິເຊຍ (TN)
ຕອງກາ (TO)
ຕຸນກີ (TR)
ທິນິແດດ (TT)
ໄຕ້ຫວັນ (TW)
ທານຊາເນຍ (TZ)
ຢູເຄຼນ (UA)
ອູການດາ (UG)
ສະຫະລັດອາເມລິກາ (US)
ລູກວຍອຸຣ (UY)
ອຸດເບກິສະຖານ (UZ)
ວາຕິກັນ (VA)
ເວເນຊູເອລາ (VE)
ບຣິທິດເວີຈິນໄອແລນ (VG)
ຢູເອສເວີຈິນໄອແລນ (VI)
ຫວຽດນາມ (VN)
ວານົວຕູ (VU)
ເຢເມນ (YE)
ມາຢອດ (YT)
ອາຟະລິກາໃຕ້ (ZA)
ແຊມເບຍ (ZM)
ຊິມບັບເວ (ZW)
