กรีซ (GR)
เอลซัลวาดอร์ (SV)
เอสโตเนีย (EE)
แองกวิลลา (AI)
แองโกลา (AO)
แอนตาร์กติกา (AQ)
แอนติกาและบาร์บูดา (AG)
แอฟริกาใต้ (ZA)
แอลจีเรีย (DZ)
แอลเบเนีย (AL)
โอมาน (OM)
ไอซ์แลนด์ (IS)
ไอร์แลนด์ (IE)
ไอวอรี่โคสต์ (CI)
ฮอนดูรัส (HN)
ฮังการี (HU)
เฮติ (HT)
