อันดอร์รา (AD)
มอริเตเนีย (MR)
มอนต์เซอร์รัต (MS)
มอลตา (MT)
มอริเชียส (MU)
มัลดีฟส์ (MV)
มาลาวี (MW)
เม็กซิโก (MX)
มาเลเซีย (MY)
โมซัมบิก (MZ)
นามิเบีย (NA)
นิวแคลิโดเนีย (NC)
ไนเจอร์ (NE)
เกาะนอร์ฟอล์ก (NF)
ไนจีเรีย (NG)
นิการากัว (NI)
เนเธอร์แลนด์ (NL)
นอร์เวย์ (NO)
เนปาล (NP)
นาอูรู (NR)
นีอูเอ (NU)
นิวซีแลนด์ (NZ)
โอมาน (OM)
ปานามา (PA)
เปรู (PE)
เฟรนช์โปลินีเซีย (PF)
ปาปัวนิวกินี (PG)
ฟิลิปปินส์ (PH)
ปากีสถาน (PK)
โปแลนด์ (PL)
แซงปีแยร์และมีเกอลง (PM)
พิตแคร์น (PN)
เปอร์โตริโก (PR)
ปาเลสไตน์ (PS)
โปรตุเกส (PT)
ปาเลา (PW)
ปารากวัย (PY)
กาตาร์ (QA)
เรอูนียง (RE)
โรมาเนีย (RO)
เซอร์เบีย (RS)
รัสเซีย (RU)
รวันดา (RW)
ซาอุดีอาระเบีย (SA)
หมู่เกาะโซโลมอน (SB)
เซเชลส์ (SC)
ซูดาน (SD)
สวีเดน (SE)
สิงคโปร์ (SG)
เซนต์เฮเลนา (SH)
สโลวีเนีย (SI)
สฟาลบาร์และยานไมเอน (SJ)
สโลวะเกีย (SK)
เซียร์ราลีโอน (SL)
ซานมารีโน (SM)
เซเนกัล (SN)
โซมาเลีย (SO)
ซูรินาเม (SR)
เซาตูเมและปรินซิปี (ST)
เอลซัลวาดอร์ (SV)
ซีเรีย (SY)
สวาซิแลนด์ (SZ)
หมู่เกาะเติกส์และหมู่เกาะเคคอส (TC)
ชาด (TD)
เฟรนช์เซาเทิร์นเทร์ริทอรีส์ (TF)
โตโก (TG)
ไทย (TH)
ทาจิกิสถาน (TJ)
โตเกเลา (TK)
ติมอร์ตะวันออก (TL)
เติร์กเมนิสถาน (TM)
ตูนิเซีย (TN)
ตองกา (TO)
ตุรกี (TR)
ตรินิแดดและโตเบโก (TT)
ตูวาลู (TV)
ไต้หวัน (TW)
แทนซาเนีย (TZ)
ยูเครน (UA)
ยูกันดา (UG)
หมู่เกาะสหรัฐไมเนอร์เอาต์ไลอิง (UM)
สหรัฐอเมริกา (US)
อุรุกวัย (UY)
อุซเบกิสถาน (UZ)
วาติกัน (VA)
เซนต์วินเซนต์และเกรนาดีนส์ (VC)
เวเนซุเอลา (VE)
หมู่เกาะบริติชเวอร์จิน (VG)
หมู่เกาะยูเอสเวอร์จิน (VI)
เวียดนาม (VN)
วานูอาตู (VU)
วาลลิสและฟุตูนา (WF)
ซามัว (WS)
เยเมน (YE)
มายอต (YT)
แอฟริกาใต้ (ZA)
แซมเบีย (ZM)
ซิมบับเว (ZW)
ไม่ทราบ (ZZ)
