ཨེན་ཌོ་ར། (AD)
ལི་ཐུ་ཨེ་ནི་ཡ། (LT)
ལཀ་ཛམ་བོརྒ། (LU)
ལཏ་བི་ཡ། (LV)
ལི་བི་ཡ། (LY)
མོ་རོ་ཀྐོ། (MA)
མོ་ན་ཀོ། (MC)
མ་དཱ་གྷསྐཱར། (MG)
མཱར་ཤལ་གླིང་ཕྲེན། (MH)
མ་ལི། (ML)
འབར་མ། (MM)
སོག་ཡུལ། (MN)
མེ་ཀའོ། (MO)
མཽ་རི་ཏ་ནི་ཡ། (MR)
མལ་ཊ། (MT)
མཽ་རིཤས྄། (MU)
མལ་དྭིབ། (MV)
མཱ་ལཱ་ཝི། (MW)
མེཀ་སི་ཀོ། (MX)
མ་ལེ་ཤི་ཡ། (MY)
མོ་ཛམ་བིག། (MZ)
ན་མི་བི་ཡ། (NA)
ནའི་ཇར། (NE)
ནཱའི་ཇི་རི་ཡ། (NG)
ནི་ཀ་ར་གུ་ཨ། (NI)
ནེ་ཐར་ལནྜ། (NL)
ནོར་ཝེ། (NO)
བར་ཡུལ་ (NP)
ནཽ་རུ། (NR)
ནིའུ་ཝ། (NU)
ནིའུ་ཛི་ལན྄ཌ། (NZ)
ཨོ་མན། (OM)
པ་ནཱ་མ། (PA)
པེ་རུ། (PE)
པ་པུ་ཨ། ནིའུ། གྷི་ནི། (PG)
ཕི་ལི་པིནས྄། (PH)
པཀི་སྟཱན། (PK)
པོ་ལནྜ། (PL)
པོར་ཏུ་གྷལ། (PT)
པ་ལཽ། (PW)
པཱ་ར་གེ། (PY)
ཀ་ཏཱར། (QA)
རོ་མཱ་ནིཡ། (RO)
སེར་བི་ཡ། (RS)
ཨུ་རུ་སུ་ (RU)
རུ་ཝན་ཌ། (RW)
སཽ་དྷི་ཨ་རཱ་བི་ཡ། (SA)
སོ་ལོ་མོན། གླིང་ཕྲན་ཚོ་ཁག། (SB)
སཱ་ཤཻལ། (SC)
སུ་དཱན། (SD)
སིངྒ་པུར། (SG)
སེནྚ། ཧེ་ལི་ན། (SH)
ས་ལཽ་ཝེ་ནི་ཡ། (SI)
ས་ལཽ་ཝཀྱ། (SK)
སེ་ཡར་ར། ལིའོན། (SL)
སན་མེ་རི་ནོ། (SM)
སེ་ནི་གྷལ། (SN)
སོ་མཱལི་ཡ། (SO)
སུ་རི་ནཱམ། (SR)
ས་འོ་ཏོད་མད། དང༌། པ྄རིན་སི་པེ། (ST)
ཨེལ། སཱལ་ཝ་ཌོར། (SV)
ཅཻཌ། (TD)
ཏུརཀི། (TR)
ཐུ་ཝ་ལུ། (TV)
ཡུ་ཀརེན། (UA)
ཡུ་གན་ཌ། (UG)
ཨ་མེ་རི་ཀ་ (US)
ཨུ་རུ་གྷེ། (UY)
ཨུཛ་བེ་ཀིསྟཱན། (UZ)
ཝེ་ཊི་ཀན། (VA)
སེནྚ། ཝིན་སན། དང༌། གྷིརིན་ཌིན། (VC)
ཝེ་ནི་ཛུའེ་ལ། (VE)
ཝེད་ནམ། (VN)
ཝ་ནུ་ཨ་ཐུ། (VU)
ནུ་བ་ས་མོ་འ། (WS)
ཡེ་མེན། (YE)
ལྷོ་ ཨཕྲི་ཀ། (ZA)
ཛམ་བི་ཡ། (ZM)
ཛིམ་བྷཱ་བེ། (ZW)
མིའི་ཤེས་རྟོགས་མ་བྱུང་བའི་ཁོར་ཡུག (ZZ)
