កម្ពុជា (KH)
រុស្ស៊ី (RU)
រូម៉ានី (RO)
រេអុយញ៉ុង (RE)
លិចតិនស្ដាញ (LI)
លីទុយអានី (LT)
លីបង់ (LB)
លីប៊ី (LY)
លីបេរីយ៉ា (LR)
លុចសំបួ (LU)
វ៉ានូទូ (VU)
វ៉ាលីស និង​ហ្វូទូណា (WF)
វៀតណាម (VN)
វ៉េណេស៊ុយអេឡា (VE)
សង់ព្យែរ និង​មីគីឡុង (PM)
សង់​ហេឡេណា (SH)
សហរដ្ឋអាមេរិក (US)
សាធារណរដ្ឋ​ដូមីនីក (DO)
សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល (CF)
សាន​ម៉ារីណូ (SM)
សាម័រ (WS)
សាម័រ អាមេរិកាំង (AS)
សាហារ៉ាខាងលិច (EH)
សិង្ហបុរី (SG)
សីង​ម៉ាធីន (SX)
ស៊ីប (CY)
ស៊ីមបាវ៉េ (ZW)
ស៊ីរី (SY)
ស៊ីលី (CL)
សីស្ហែល (SC)
ស៊ុយអែត (SE)
ស៊ូដង់ (SD)
ស៊ូដង់​ខាង​ត្បូង (SS)
សូម៉ាលី (SO)
សូរីណាម (SR)
សៀរ៉ាឡេអូន (SL)
សេណេហ្គាល់ (SN)
សែប៊ី (RS)
សៅតូម៉េ និង ប្រាំងស៊ីប (ST)
សំប៊ី (ZM)
សាំង​គីត និង ណេវីស (KN)
សាំង​បាថេឡេមី (BL)
សាំង​ម៉ាទីន (MF)
សាំងលូស៊ី (LC)
សាំង​វ៉ាំងសង់ និង ហ្គ្រេណាឌីន (VC)
ស្រីលង្កា (LK)
ស្លូវ៉ាគី (SK)
ស្លូវេនី (SI)
ស្វាលបាដ និង ហ្សង់ម៉ាយេន (SJ)
ស្វាស៊ីឡង់ (SZ)
ស្វីស (CH)
ហុងកុង (HK)
ហុងគ្រី (HU)
ហុងឌូរ៉ាស (HN)
ហូឡង់ (NL)
ហូឡង់ ការ៉ាប៊ីន (BQ)
ហៃទី (HT)
ហ្គាណា (GH)
ហ្គាបុង (GA)
ហ្គីណេ (GN)
ហ្គីណេប៊ីស្សូ (GW)
ហ្គីណេអេក្វាទ័រ (GQ)
ហ្គីយ៉ាន (GY)
ហ្គីអាណា បារាំង (GF)
ហ្គេនស៊ី (GG)
ហ្គោដឺឡុប (GP)
ហ្គំប៊ី (GM)
ហ្គាំ (GU)
ហ្គ្រើណាដ (GD)
ហ្គ្រោអង់ឡង់ (GL)
ហ្វីជី (FJ)
ហ្វីលីពីន (PH)
ហ្វាំងឡង់ (FI)
ហ៊្សកដានី (JO)
ហ្សកហ្ស៊ី (GE)
ហ្សាម៉ាអ៊ីក (JM)
ហ្ស៊ីប្រាល់តា (GI)
ឡាវ (LA)
ឡេតូនី (LV)
ឡេសូតូ (LS)
អង់ដូរ៉ា (AD)
អង់តាក់ទិក (AQ)
អង់ទីហ្គា និង បាប៊ុយដា (AG)
អង់ហ្គីឡា (AI)
អង់ហ្គោឡា (AO)
អាមេនី (AM)
អារ៉ាប៊ីសាអូឌីត (SA)
អារូបា (AW)
អាល់បានី (AL)
អាល់ហ្សេរី (DZ)
អាល្លឺម៉ង់ (DE)
អាស៊ែបៃហ្សង់ (AZ)
អាហ្វហ្គានីស្ថាន (AF)
អាហ្វ្រិកខាងត្បូង (ZA)
អាហ្សង់ទីន (AR)
ឥណ្ឌា (IN)
ឥណ្ឌូណេស៊ី (ID)
អ៊ីតាលី (IT)
អ៊ីរ៉ង់ (IR)
អ៊ីរ៉ាក់ (IQ)
អ៊ីស្រាអែល (IL)
អ៊ីស្លង់ (IS)
អ៊ុយក្រែន (UA)
អ៊ុយរូហ្គាយ (UY)
អូទ្រីស (AT)
អូម៉ង់ (OM)
អ៊ូសបេគីស្ថាន (UZ)
អូស្ត្រាលី (AU)
អ៊ូហ្គង់ដា (UG)
អៀរឡង់ (IE)
អេក្វាទ័រ (EC)
អេត្យូពី (ET)
អេមីរ៉ាត​អារ៉ាប់​រួម (AE)
អេរីត្រេ (ER)
អេស្តូនី (EE)
អេស្ប៉ាញ (ES)
អេហ្ស៊ីប (EG)
អែលសាល់វ៉ាឌ័រ (SV)
អែលអុហ្វមែន (IM)
