កម្ពុជា (KH)
ម៉ូហ្សាំប៊ិក (MZ)
យេមែន (YE)
រវ៉ាន់ដា (RW)
រុស្ស៊ី (RU)
រូម៉ានី (RO)
រេអុយញ៉ុង (RE)
លិចទេនស្តែន (LI)
លីទុយអានី (LT)
លីបង់ (LB)
លីប៊ី (LY)
លីបេរីយ៉ា (LR)
លុចហ្សំបួរ (LU)
វ៉ានូអាទូ (VU)
វ៉ាលីស និង​ហ្វូទូណា (WF)
វៀតណាម (VN)
វេនេហ្ស៊ុយឡា (VE)
សង់ បាតេឡេម៉ី (BL)
សង់ឃីត និង​ណេវីស (KN)
សង់ព្យែរ និង​មីគីឡុង (PM)
សង់​ម៉ាទីន (MF)
សង់​លូសៀ (LC)
សង់​ហេឡេណា (SH)
សហរដ្ឋអាមេរិក (US)
សាធារណរដ្ឋ​ដូមីនីក (DO)
សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល (CF)
សាន​ម៉ារីណូ (SM)
សាម័រ (WS)
សាម័រ អាមេរិកាំង (AS)
សាហារ៉ាខាងលិច (EH)
សិង្ហបុរី (SG)
សីង​ម៉ាធីន (SX)
ស៊ីប (CY)
ស៊ីរី (SY)
ស៊ីលី (CL)
សីសែល (SC)
ស៊ុយអែត (SE)
ស៊ូដង់ (SD)
ស៊ូដង់​ខាង​ត្បូង (SS)
សូម៉ាលី (SO)
សូរីណាម (SR)
សេណេហ្គាល់ (SN)
សេរ៉ាឡេអូន (SL)
ស៊ែប (RS)
សៅតូម៉េ និង ប្រាំងស៊ីប (ST)
សាំង​វីនសេន និង​ឌឹ​ហ្គ្រីណាឌីនីស (VC)
ស្រីលង្កា (LK)
ស្លូវ៉ាគី (SK)
ស្លូវេនី (SI)
ស្វាលបាដ និង ហ្សង់ម៉ាយេន (SJ)
ស្វាហ្ស៊ីឡង់ (SZ)
ស្វីស (CH)
ហុងកុង (HK)
ហុងគ្រី (HU)
ហុងឌូរ៉ាស (HN)
ហុល្លង់ ការ៉ាប៊ីន (BQ)
ហូឡង់ (NL)
ហៃទី (HT)
ហ្គាណា (GH)
ហ្គាតេម៉ាឡា (GT)
ហ្គាបុង (GA)
ហ្គីណេ (GN)
ហ្គីណេប៊ីសូ (GW)
ហ្គីណេអេក្វាទ័រ (GQ)
ហ្គីប្រាលតា (GI)
ហ្គីយ៉ាណា (GY)
ហ្គៀណាបារាំង (GF)
ហ្គេនស៊ី (GG)
ហ្គោដឺឡុប (GP)
ហ្គាំ (GU)
ហ្គាំប៊ី (GM)
ហ្គ្រីណាដា (GD)
ហ្គ្រោអង់ឡង់ (GL)
ហ្វីជី (FJ)
ហ្វីលីពីន (PH)
ហ្វាំងឡង់ (FI)
ហ៊្សកដានី (JO)
ហ្សកហ្ស៊ី (GE)
ហ្ស៊ីមបាវ៉េ (ZW)
ហ្សាំប៊ី (ZM)
ឡាតវីយ៉ា (LV)
ឡាវ (LA)
ឡេសូតូ (LS)
អង់ដូរ៉ា (AD)
អង់តាក់ទិក (AQ)
អង់ទីហ្គា និង បាប៊ុយដា (AG)
អង់ហ្គីឡា (AI)
អង់ហ្គោឡា (AO)
អង្គការសហប្រជាជាតិ (UN)
អាមេនី (AM)
អារ៉ាប់រួម (AE)
អារ៉ាប៊ីសាអូឌីត (SA)
អារូបា (AW)
អាល់បានី (AL)
អាល់ហ្សេរី (DZ)
អាល្លឺម៉ង់ (DE)
អាស៊ែបៃហ្សង់ (AZ)
អាហ្វហ្គានីស្ថាន (AF)
អាហ្វ្រិកខាងត្បូង (ZA)
អាហ្សង់ទីន (AR)
ឥណ្ឌា (IN)
ឥណ្ឌូណេស៊ី (ID)
អ៊ីតាលី (IT)
អ៊ីរ៉ង់ (IR)
អ៊ីរ៉ាក់ (IQ)
អ៊ីស្រាអែល (IL)
អ៊ីស្លង់ (IS)
អ៊ុយក្រែន (UA)
អ៊ុយរ៉ាហ្គាយ (UY)
អូទ្រីស (AT)
អូម៉ង់ (OM)
អ៊ូសបេគីស្ថាន (UZ)
អូស្ត្រាលី (AU)
អ៊ូហ្គង់ដា (UG)
អៀរឡង់ (IE)
អេក្វាឌ័រ (EC)
អេត្យូពី (ET)
អេរីទ្រា (ER)
អេស្តូនី (EE)
អេស្ប៉ាញ (ES)
អេហ្ស៊ីប (EG)
អែលសាល់វ៉ាឌ័រ (SV)
អែលអុហ្វមែន (IM)
Eurozone (EZ)
