កម្ពុជា (KH)
សាធារណរដ្ឋឆេក (CZ)
សាធារណរដ្ឋដូមីនីកែន (DO)
សាធារណរដ្ឋប្រជាធិបតេយ្យប្រជាមានិតកូរ៉េ (KP)
សាធារណរដ្ឋម៉ុលដាវី (MD)
សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល (CF)
សាមូអា (WS)
សាហារ៉ាខាងលិច (EH)
សិង្ហបុរី (SG)
សីសែល (SC)
សូម៉ាលី (SO)
សូរីណាម (SR)
សូហ្ស៉ីឡង់ (SZ)
សេនេហ្កាល់ (SN)
សេរ៉ាឡេអូន (SL)
ស៉ីពរ៍ (CY)
ស៊ីរី (SY)
ស៊ុយអែដ (SE)
ស៊ូដង់ (SD)
ស្រីលង្កា (LK)
ស្លូវេនី (SI)
ស្លូវ៉ាគី (SK)
ស្វីស (CH)
ហុងកុង (HK)
ហុងគ្រី (HU)
ហុងឌួរ៉ាស់ (HN)
ហូល្លង់ (NL)
ហៃទី (HT)
ហ៊្សកដានី (JO)
ហ្កាណា (GH)
ហ្គាតេម៉ាឡា (GT)
ហ្គាបុង (GA)
ហ្គាំប៊ី (GM)
ហ្គីណេ (GN)
ហ្គីណេប៊ីសូ (GW)
ហ្គីណេអេក្វាទ័រ (GQ)
ហ្គីយ៉ាណា (GY)
ហ្វាំងឡង់ (FI)
ហ្វ៉ីលីពីន (PH)
ហ្វ៉ីហ្ស៉ី (FJ)
ហ្សកហ្ស៉ី (GE)
ហ្សាម៉ាអ៉ិគ (JM)
ហ្សាំប៊ី (ZM)
ហ្ស៉ីបូទី (DJ)
ហ្ស៊ីមបាបវ៉េ (ZW)
ឡាតវីយ៉ា (LV)
ឡាវ (LA)
អង់ហ្គោឡា (AO)
អានដូរ៉ា (AD)
អារមេនី (AM)
អារ៉ាប៊ីសាអ៊ូឌីត (SA)
អាល់បានី (AL)
អាល់ហ្សេរី (DZ)
អាល្លឺម៉ង់ (DE)
អាហ៊្សែរបែហ្សង់ (AZ)
អាហ្វហ្គានីស្ថាន (AF)
អាហ្វ្រិកខាងត្បូង (ZA)
អាហ្សង់ទីន (AR)
អូទ្រីស (AT)
អូម៉ង់ (OM)
អូស្ត្រាលី (AU)
អៀរឡង់ (IE)
អេក្វាឌ័រ (EC)
អេត្យូពី (ET)
អេមីរ៉ែទអារ៉ាប់រួម (AE)
អេរីទ្រា (ER)
អេស្តូនី (EE)
អេស្ប៉ាញ (ES)
អេហ្ស៉ីប (EG)
អែលសាល់វ៉ាឌ័រ (SV)
អ៉ីស្លង់ (IS)
អ៊ីតាលី (IT)
អ៊ីរ៉ង់ (IR)
អ៊ីរ៉ាក់ (IQ)
អ៊ីស្រាអែល (IL)
អ៊ុយក្រែន (UA)
អ៊ុយរុយហ្គាយ (UY)
អ៊ូហ្កង់ដា (UG)
អ៊ូហ្សបេគីស្តង់ (UZ)
ឥណ្ឌា (IN)
ឥណ្ឌូនេស៊ី (ID)
