不丹 (BT)
美國 (US)
美屬維京群島 (VI)
美屬薩摩亞群島 (AS)
美屬邊疆群島 (UM)
義大利 (IT)
聖克里斯多福及尼維斯 (KN)
聖多美及普林西比 (ST)
聖巴瑟米 (BL)
聖彼德與密啟崙 (PM)
聖文森及格瑞那丁 (VC)
聖誕島 (CX)
聖赫勒拿島 (SH)
聖露西亞 (LC)
聖馬丁 (MF)
聖馬利諾 (SM)
肯亞 (KE)
芬蘭 (FI)
英國 (GB)
英屬印度洋領土 (IO)
英屬維京群島 (VG)
茅利塔尼亞 (MR)
荷屬安地列斯 (AN)
荷蘭 (NL)
莫三比克 (MZ)
菲律賓 (PH)
萬那杜 (VU)
葉門 (YE)
葡萄牙 (PT)
蒙古 (MN)
蒙特內哥羅 (ME)
蒙特色拉特島 (MS)
蒲隆地 (BI)
蓋亞納 (GY)
薩摩亞群島 (WS)
薩爾瓦多 (SV)
蘇丹 (SD)
蘇利南 (SR)
衣索比亞 (ET)
西撒哈拉 (EH)
西班牙 (ES)
諾福克島 (NF)
諾魯 (NR)
貝南 (BJ)
貝里斯 (BZ)
賴比瑞亞 (LR)
賴索扥 (LS)
賽普勒斯 (CY)
赤道幾內亞 (GQ)
赫德與麥克當諾群島 (HM)
越南 (VN)
辛巴威 (ZW)
迦納 (GH)
開曼群島 (KY)
關島 (GU)
阿富汗 (AF)
阿拉伯聯合大公國 (AE)
阿曼王國 (OM)
阿根廷 (AR)
阿爾及利亞 (DZ)
阿爾巴尼亞 (AL)
阿路巴 (AW)
馬丁尼克島 (MQ)
馬來西亞 (MY)
馬其頓 (MK)
馬利 (ML)
馬拉威 (MW)
馬爾他 (MT)
馬爾地夫 (MV)
馬約特 (YT)
馬紹爾群島 (MH)
馬達加斯加 (MG)
黎巴嫩 (LB)
