也門 (YE)
聖多美和普林西比 (ST)
聖馬利諾 (SM)
聖基茨和尼維斯 (KN)
聖赫勒拿島 (SH)
聖誕島 (CX)
聖盧西亞 (LC)
葡萄牙 (PT)
圖瓦盧 (TV)
福克蘭群島 (FK)
蒙古 (MN)
蒙特塞拉特 (MS)
赫德島及麥唐納群島 (HM)
德國 (DE)
摩洛哥 (MA)
摩納哥 (MC)
摩爾多瓦 (MD)
緬甸 (MM)
黎巴嫩 (LB)
墨西哥 (MX)
澤西島 (JE)
澳洲 (AU)
盧旺達 (RW)
盧森堡 (LU)
諾福克島 (NF)
賴索托 (LS)
鮑威特島 (BV)
薩爾瓦多 (SV)
薩摩亞 (WS)
羅馬尼亞 (RO)
贊比亞 (ZM)
關島 (GU)
蘇丹 (SD)
蘇里南 (SR)
