千里達及托巴哥 (TT)
阿富汗 (AF)
阿森松島 (AC)
阿路巴 (AW)
阿爾及利亞 (DZ)
阿爾巴尼亞 (AL)
俄羅斯 (RU)
保加利亞 (BG)
南非 (ZA)
南喬治亞與南三明治群島 (GS)
南極洲 (AQ)
南韓 (KR)
南蘇丹 (SS)
哈薩克 (KZ)
查德 (TD)
柬埔寨 (KH)
玻利維亞 (BO)
科威特 (KW)
科索沃 (XK)
突尼西亞 (TN)
約旦 (JO)
美國 (US)
美國本土外小島嶼 (UM)
美屬維京群島 (VI)
美屬薩摩亞群島 (AS)
英國 (GB)
英屬印度洋領土 (IO)
英屬維京群島 (VG)
茅利塔尼亞 (MR)
迦納 (GH)
迪亞哥加西亞島 (DG)
剛果（布拉薩） (CG)
剛果（金夏沙） (CD)
哥倫比亞 (CO)
哥斯大黎加 (CR)
埃及 (EG)
庫克群島 (CK)
庫拉索 (CW)
挪威 (NO)
根西島 (GG)
格陵蘭 (GL)
格瑞那達 (GD)
泰國 (TH)
海地 (HT)
烏干達 (UG)
烏克蘭 (UA)
烏拉圭 (UY)
烏茲別克 (UZ)
特里斯坦達庫尼亞群島 (TA)
留尼旺 (RE)
秘魯 (PE)
納米比亞 (NA)
紐西蘭 (NZ)
紐埃島 (NU)
索馬利亞 (SO)
索羅門群島 (SB)
馬丁尼克島 (MQ)
馬利 (ML)
馬來西亞 (MY)
馬其頓 (MK)
馬拉威 (MW)
馬約特 (YT)
馬紹爾群島 (MH)
馬達加斯加 (MG)
馬爾他 (MT)
馬爾地夫 (MV)
密克羅尼西亞群島 (FM)
捷克共和國 (CZ)
敘利亞 (SY)
曼島 (IM)
梵蒂岡 (VA)
荷屬聖馬丁 (SX)
荷蘭 (NL)
荷蘭加勒比區 (BQ)
莫三比克 (MZ)
喀麥隆 (CM)
喬治亞共和國 (GE)
幾內亞 (GN)
幾內亞比紹 (GW)
斐濟 (FJ)
斯里蘭卡 (LK)
斯洛伐克 (SK)
斯洛維尼亞 (SI)
智利 (CL)
菲律賓 (PH)
象牙海岸 (CI)
越南 (VN)
開曼群島 (KY)
塔吉克 (TJ)
塞內加爾 (SN)
塞席爾 (SC)
塞爾維亞 (RS)
奧地利 (AT)
奧蘭群島 (AX)
愛沙尼亞 (EE)
愛爾蘭 (IE)
新加坡 (SG)
新喀里多尼亞群島 (NC)
獅子山 (SL)
瑞士 (CH)
瑞典 (SE)
萬那杜 (VU)
義大利 (IT)
聖巴瑟米 (BL)
聖文森及格瑞那丁 (VC)
聖皮埃爾和密克隆群島 (PM)
聖多美及普林西比 (ST)
聖克里斯多福及尼維斯 (KN)
聖馬利諾 (SM)
聖赫勒拿島 (SH)
聖誕島 (CX)
聖露西亞 (LC)
葉門 (YE)
葛摩 (KM)
葡萄牙 (PT)
福克蘭群島 (FK)
維德角 (CV)
蒙古 (MN)
蒙哲臘 (MS)
蒙特內哥羅 (ME)
蒲隆地 (BI)
蓋亞那 (GY)
寮國 (LA)
德國 (DE)
摩洛哥 (MA)
摩納哥 (MC)
摩爾多瓦 (MD)
模里西斯 (MU)
緬甸 (MM)
黎巴嫩 (LB)
墨西哥 (MX)
澤西島 (JE)
澳洲 (AU)
盧安達 (RW)
盧森堡 (LU)
諾福克島 (NF)
諾魯 (NR)
賴比瑞亞 (LR)
賴索托 (LS)
賽普勒斯 (CY)
薩爾瓦多 (SV)
薩摩亞群島 (WS)
羅馬尼亞 (RO)
關島 (GU)
蘇丹 (SD)
蘇利南 (SR)
