ཀ་ཏཱར། (QA)
ཨི་རཱན། (IR)
ཨིན་ཌོ་ནེ་ཤི་ཡ། (ID)
ཨིསྟོ་ནི་ཡ། (EE)
ཨུ་རུ་གྷེ། (UY)
ཨུ་རུ་སུ་ (RU)
ཨུཛ་བེ་ཀིསྟཱན། (UZ)
ཨེ་རི་ཏྲེ་ཨ། (ER)
ཨེན་ཊི་གུ་དང་། བྷར་བུ་ཌ། (AG)
ཨེན་ཌོ་ར། (AD)
ཨེལ། སཱལ་ཝ་ཌོར། (SV)
ཨོ་མན། (OM)
