ກາຕາ (QA)
ມາເລເຊຍ (MY)
ມົງໂກລີ (MN)
ມໍຣິຕຽດ (MU)
ມໍລິກທາເນຍ (MR)
ຢູເຄຼນ (UA)
ຢູເອສເວີຈິນໄອແລນ (VI)
ລັດເຊຍ (RU)
ລາວ (LA)
ລາວັນດາ (RW)
ລິເທີເນຍ (LT)
ລິເບຍ (LY)
ລິເບີເລຍ (LR)
ລຸກແຊມເບີກ (LU)
ລູກວຍອຸຣ (UY)
ລູເມເນຍ (RO)
ລຼາດເວຍ (LV)
ວາຕິກັນ (VA)
ວານົວຕູ (VU)
ສະວາຊິແລນ (SZ)
ສະວິດເຊີແລນ (CH)
ສະວິເດັນ (SE)
ສະຫະພາບພະມ້າ (MM)
ສະຫະລັດອາຫລັບເອມິເລດ (AE)
ສະຫະລັດອາເມລິກາ (US)
ສະຫະລາດຊະອານາຈັກ (GB)
ສະເປນ (ES)
ສະໂລວາເກຍ (SK)
ສະໂລເວເນຍ (SI)
ສາທາລະນະລັດອັບຟຼິກກາກາງ (CF)
ສາທາລະນະລັດເຊັກ (CZ)
ສາທາລະນະລັດໂດມິນິກັນ (DO)
ສິງກະໂປ (SG)
ສີລັງກາ (LK)
ຫວຽດນາມ (VN)
ອວນຄູຣັສ (HN)
ອັນກິລາ (AI)
ອັນດໍລາ (AD)
ອັນໂກລາ (AO)
ອັຟການິດສະຖານ (AF)
ອານາເຂດທາງໃຕ້ຂອງຝລັ່ງເສດ (TF)
ອາຟະລິກາໃຕ້ (ZA)
ອາມິເນຍ (AM)
ອາລູບາ (AW)
ອາເຈນຕິນາ່ (AR)
ອາເຊີໄບຈັນ (AZ)
ອິຕາລີ (IT)
ອິນຊີ (ER)
ອິນເດຍ (IN)
ອິນໂດເນເຊຍ (ID)
ອິສລະເອວ (IL)
ອີຢິບ (EG)
ອີລັກ (IQ)
ອີລ່ານ (IR)
ອຸດເບກິສະຖານ (UZ)
ອູການດາ (UG)
ອົອດສະຕາລີ (AU)
ອົອດສະເຕຼຍ (AT)
ຮົງກາຣີ (HU)
ຮ່ອງກົງ (HK)
ເກົາຫລີເໜືອ (KP)
ເກົາຫລີໃຕ້ (KR)
ເຄນຢ່າ (KE)
ເຄບວອດ (CV)
ເຊຍລາສິອອນ (SL)
ເຊີເບຍ (CS)
ເຊແຊວ (SC)
ເດນມາກ (DK)
ເດີກິດສະຖານ (KG)
ເຕຣີກເມນິສະຖານ (TM)
ເນປານ (NP)
ເນເທີແລນ (NL)
ເນເທີແລນແອນເທິນ (AN)
ເບນລາຮັສ (BY)
ເບນິນ (BJ)
ເບລິຊ (BZ)
ເບວຢຽມ (BE)
ເບີກິນາຟາໂຊ (BF)
ເບີມິວດາ (BM)
ເປລູ (PE)
ເປີໂຕລິໂກ (PR)
ເຟັນຣໂພລິນີເຊຍ (PF)
ເຟັນສກິວນາ (GF)
ເຢຍລະມັນ (DE)
ເຢເມນ (YE)
ເລບານອນ (LB)
ເລໂຊໂທ (LS)
ເວເນຊູເອລາ (VE)
ເອກວາດໍ (EC)
ເອຄົວໂທເລຍລະກິນີ (GQ)
ເອຊາວາດໍ (SV)
ເອທິໂອເປຍ (ET)
ເອສໂຕເນຍ (EE)
ແກມເບຍ (GM)
ແຊມເບຍ (ZM)
ແມຊິໂຄເນຍ (MK)
ແມັກຊິໂກ (MX)
ແອລຈິເລຍ (DZ)
ແອລເບເນຍ (AL)
ໂຄລຳເບຍ (CO)
ໂຄເອເຊຍ (HR)
ໂຄໂມຣອດ (KM)
ໂຊມາເລຍ (SO)
ໂດເມນິກາ (DM)
ໂຕໂກ (TG)
ໂທກິໂລ (TK)
ໂບລິເວຍ (BO)
ໂປຕຸກກັນ (PT)
ໂປແລນ (PL)
ໂມນາໂກ (MC)
ໂມນໂຄວາ (MD)
ໂມລັອກໂຄ (MA)
ໂມແຊມບິກ (MZ)
ໂອມານ (OM)
ໄຊປັຼດ (CY)
ໄຕ້ຫວັນ (TW)
ໄນຈີເລຍ (NG)
ໄນເຈີ (NE)
ໄມໂຄນິເຊຍ (FM)
ໄລເທນສະໄຕ (LI)
ໄອທີ (HT)
ໄອສແລນ (IS)
ໄອແລນ (IE)
